Language Code,Language Name,App Title (max 30),Short Description (max 80),Full Description (Long)
tr-TR,Turkish (Türkçe),Heuristic E-Ink Reader,Gerçek E-Paper kağıt dokusu ve 3D sayfa çevirme ile gözü yormayan EPUB & PDF okuyucu.,"Heuristic E-Ink Reader, akıllı telefon ve tablet ekranlarında fiziksel bir E-Kitap okuyucunun (E-Paper) yansıtmalı ve huzurlu okuma deneyimini simüle eden yeni nesil bir EPUB ve PDF okuma uygulamasıdır.

ÖNE ÇIKAN ÖZELLİKLER:
• Gerçekçi E-Paper Simülasyonu: 16 seviyeli gri tonlama, Atkinson ve Floyd-Steinberg dither algoritmaları, dalga formu (LUT) yenileme modları.
• 3D Gerçek Sayfa Katlama: Three.js WebGL motoru ile parmak hareketinize duyarlı, gerçek yaprak bükülme fiziği.
• Otantik Kağıt Dokuları: Tırtıklı ham kesim (Deckle Edge), parşömen, Japon washi ve pamuklu kağıt seçenekleri.
• Çift Motorlu Okuma: Akıcı dinamik EPUB mizanpajı ve yüksek çözünürlüklü vektörel PDF görüntüleme.
• Tipografik Ergonomi: EB Garamond ve Literata fontları, iki yana kusursuz yaslama, tipo baskı mürekkep derinliği.
• Anti-Halasyon Gece Modu: Astigmatizm ve göz yorgunluğunu önleyen yumuşak antrasit ve krem renk paleti.
• %100 Çevrimdışı ve Güvenli: Sıfır telemetri, sıfır reklam. Kitaplarınız yalnızca cihazınızda saklanır."
en-US,English (US),Heuristic E-Ink Reader,Eye-friendly EPUB & PDF reader with authentic E-Paper texture and 3D page flip.,"Heuristic E-Ink Reader transforms your mobile device into a reflective, distraction-free E-Paper reader with physical book aesthetics and advanced optical physics.

KEY FEATURES:
• Authentic E-Paper Emulation: 16-level grayscale quantization, Atkinson & Floyd-Steinberg dithering, hardware LUT waveform pulse simulation.
• 3D Cylindrical Page Curl: WebGL Three.js physics engine providing organic, touch-responsive page peeling.
• Tactile Paper Textures: Deckle-edge rough paper, vintage book parchment, Japanese washi, and cotton rag.
• Dual-Engine Document Processing: Reflowable EPUB pagination and crisp vector PDF rendering.
• Letterpress Typography: EB Garamond, Literata, true book justification, and letterpress ink squeeze depth.
• Anti-Halation Dark Mode: Eliminates retinal glare and eye strain for comfortable low-light reading.
• 100% Offline & Private: Zero telemetry, zero tracking, no ads. Your library stays securely on your device."
de-DE,German (Deutsch),Heuristic E-Ink Reader,Augenfreundlicher EPUB & PDF Reader mit echter E-Paper Textur und 3D-Umblättern.,"Heuristic E-Ink Reader verwandelt Ihr Smartphone in ein reflexionsfreies E-Paper-Lesegerät mit authentischer Buchhaptik und fortschrittlicher optischer Simulation.

HAUPTMERKMALE:
• E-Paper-Simulation: 16-Stufen-Graustufen, Atkinson-Dithering und Wellenform-LUT-Aktualisierung.
• 3D-Seitenumblättern: Physikalisch akkurates 3D-Biegen der Buchseiten mit WebGL Three.js.
• Echte Papiertesturen: Büttenpapier (Deckle Edge), Buchpergament, Washi und Baumwollpapier.
• EPUB- & PDF-Unterstützung: Dynamischer EPUB-Umbruch und gestochen scharfe PDF-Darstellung.
• Buchdruck-Typografie: EB Garamond, Blocksatz und natürliche Buchdruckfarbtiefe.
• Anti-Halations-Modus: Schont die Augen bei Dunkelheit und verhindert Lichthöfe.
• 100% Offline & Privat: Keine Werbung, kein Tracking. Ihre Bücher bleiben lokal auf Ihrem Gerät."
fr-FR,French (Français),Heuristic E-Ink Reader,Lecteur EPUB et PDF reposant avec texture E-Paper et tournage de page 3D.,"Heuristic E-Ink Reader transforme votre écran en une liseuse E-Paper sans reflet, alliant confort visuel absolu et élégance du livre imprimé.

POINTS FORTS :
• Simulation E-Paper Avancée : 16 niveaux de gris, tramage Atkinson, formes d'onde LUT réalistes.
• Tournage de Page 3D : Rendu WebGL Three.js pour une courbure physique naturelle des pages au toucher.
• Textures de Papier Réelles : Papier vergé, parchemin de livre, washi japonais et papier coton.
• Moteur Double EPUB & PDF : Mise en page dynamique reflowable et rendu vectoriel haute fidélité.
• Typographie d'Édition : EB Garamond, justification parfaite et profondeur d'encre typographique.
• Mode Sombre Anti-Halation : Évite la fatigue oculaire et les halos lumineux en lecture nocturne.
• 100% Hors-Ligne et Privé : Zéro pistage, zéro publicité. Vos livres restent sur votre appareil."
es-ES,Spanish (Español),Heuristic E-Ink Reader,Lector EPUB y PDF con textura E-Paper auténtica y giro de página 3D realista.,"Heuristic E-Ink Reader convierte tu móvil en un lector de tinta electrónica antirreflejo, diseñado para una lectura inmersiva sin fatiga visual.

CARACTERÍSTICAS PRINCIPALES:
• Emulación E-Paper Real: 16 niveles de gris, tramado Atkinson y simulación de pulsos LUT.
• Paso de Página en 3D: Motor físico WebGL Three.js que dobla las páginas con respuesta táctil fluida.
• Texturas de Papel Artesanal: Bordes rústicos (Deckle Edge), pergamino clásico, washi y algodón.
• Procesamiento Dual EPUB y PDF: Mapeo dinámico de texto y renderizado vectorial nítido de PDF.
• Tipografía Editorial: Fuentes EB Garamond y Literata, justificación completa y tinta con relieve.
• Modo Noche Anti-Halación: Protege la vista en la oscuridad eliminando halos y destellos molestos.
• 100% Privado y Offline: Sin anuncios ni telemetría. Tus libros se guardan exclusivamente en tu dispositivo."
it-IT,Italian (Italiano),Heuristic E-Ink Reader,Lettore EPUB e PDF con texture carta E-Ink e sfogliamento 3D realistico.,"Heuristic E-Ink Reader trasforma il tuo smartphone in un lettore E-Paper opaco e rilassante per gli occhi, con la raffinatezza della stampa tradizionale.

CARATTERISTICHE:
• Simulazione E-Paper Fedele: 16 tonalità di grigio, dithering Atkinson e aggiornamento LUT.
• Sfogliamento Pagine 3D: Fisica di curvatura delle pagine basata su WebGL Three.js.
• Pregiate Texture di Carta: Carta a bordi intonsi (Deckle Edge), pergamena, washi e cotone.
• Supporto Doppio EPUB & PDF: Impaginazione fluida dei testi e visualizzazione PDF ad alta definizione.
• Tipografia Classica: Font EB Garamond, giustificazione perfetta ed effetto inchiostro tipografico.
• Modalità Anti-Aloni: Massima ergonomia visiva per la lettura al buio.
• 100% Offline & Sicuro: Nessuna pubblicità, nessun tracciamento. I tuoi libri restano privati."
pt-BR,Portuguese (Português),Heuristic E-Ink Reader,Leitor EPUB e PDF com textura de papel E-Ink e virada de página 3D realista.,"Heuristic E-Ink Reader simula a experiência calma e sem reflexos dos leitores digitais E-Paper na tela do seu celular ou tablet.

DESTAQUES:
• Simulação Realista de E-Paper: Escala de 16 tons de cinza, dithering Atkinson e atualização por forma de onda (LUT).
• Virada de Página em 3D: Curvatura física das folhas com resposta ao toque via WebGL Three.js.
• Texturas Físicas de Papel: Papel artesanal com bordas rústicas, pergaminho clássico, washi e algodão.
• Suporte Completo a EPUB e PDF: Ajuste fluido de texto e renderização vetorial nítida.
• Tipografia de Livro Físico: EB Garamond, alinhamento justificado e profundidade de prensa tipográfica.
• Modo Noturno Anti-Halos: Elimina o ofuscamento e o cansaço visual no escuro.
• 100% Offline e Privado: Sem anúncios ou rastreamento. Seus livros ficam salvos apenas no seu aparelho."
ru-RU,Russian (Русский),Heuristic E-Ink Reader,Комфортная читалка EPUB и PDF с текстурой E-Paper и 3D-перелистыванием страниц.,"Heuristic E-Ink Reader превращает экран смартфона в матовую электронную книгу с физической текстурой бумаги и бережным отношением к зрению.

КЛЮЧЕВЫЕ ВОЗМОЖНОСТИ:
• Точная эмуляция E-Paper: 16 градаций серого, дизеринг Аткинсона, алгоритмы обновления формы волны (LUT).
• Реалистичное 3D-перелистывание: Физический изгиб страниц под пальцем на базе WebGL Three.js.
• Натуральные текстуры бумаги: Неровные края (Deckle Edge), книжный пергамент, бумага васи и хлопок.
• Поддержка EPUB и PDF: Плавная верстка электронных книг и кристально четкий рендеринг PDF.
• Классическая типографика: Гарнитуры EB Garamond и Literata, выключка по формату, эффект типографской печати.
• Режим защиты от ореолов: Снижает нагрузку на глаза и устраняет блики при чтении в темноте.
• 100% Офлайн и Безопасность: Без рекламы и сбора данных. Ваши книги хранятся только на устройстве."
ja-JP,Japanese (日本語),Heuristic E-Ink Reader,本物の電子ペーパー質感と3Dページめくりを備えた目に優しいEPUB・PDFリーダー。,"Heuristic E-Ink Readerは、スマートフォンの画面上に電子ペーパー（E-Paper）端末の落ち着いた紙のような読書体験を再現する次世代リーダーです。

主な特徴：
• 本格的なE-Paperシミュレーション：16階調グレースケール、Atkinsonディザリング、LUT波形更新。
• 3Dリアルページめくり：WebGL Three.jsによる指の動きに追従する紙のしなりと立体カール。
• 豊かな紙の質感：手漉き和紙、耳付きラフペーパー、羊皮紙、コットン紙テクスチャ。
• EPUB & PDF両対応：リフロー型EPUBの美しい組版と鮮明なベクトルPDF表示。
• 活版印刷の美学：EB Garamond、両端揃え組版、活版インクの深み。
• アンチハレーション夜間モード：暗所でも目に優しいコントラスト設計。
• 完全オフライン＆プライバシー保護：広告なし、トラッキングなし。本は端末内のみに保存されます。"
ko-KR,Korean (한국어),Heuristic E-Ink Reader,전자잉크 종이 질감과 3D 책장 넘김을 제공하는 눈이 편한 EPUB & PDF 리더.,"Heuristic E-Ink Reader는 모바일 기기에서 전자책 단말기(E-Paper) 특유의 눈부심 없는 편안한 종이 질감 독서 환경을 구현합니다.

주요 기능:
• 리얼한 E-Paper 물리 엔진: 16단계 그레이스케일, Atkinson 디더링, LUT 웨이브폼 펄스 시뮬레이션.
• 3D 책장 넘김 효과: WebGL Three.js 기반의 자연스러운 페이지 휨 및 입체 애니메이션.
• 다양한 종이 텍스처: 전통 수제지(Deckle Edge), 양피지, 한지/화지, 코튼 페이퍼 질감.
• EPUB 및 PDF 듀얼 엔진: 유려한 리플로우 텍스트 정렬 및 고해상도 벡터 PDF 렌더링.
• 활판 인쇄 타이포그래피: EB Garamond, 완벽한 양쪽 맞춤 정렬, 활판 잉크 프레스 깊이감.
• 안티 헐레이션 야간 모드: 어두운 곳에서도 눈의 피로를 최소화하는 소프트 컬러 팔레트.
• 100% 오프라인 & 완벽한 보안: 광고 없음, 추적 없음. 책 데이터는 기기에만 안전하게 보관됩니다."
